filter_sizes,kernel_sizes,activation,pool_type,dropout_rate,dense_units,test_accuracy,train_accuracy,val_accuracy,train_loss,val_loss,accuracy_variance,run_time
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",sigmoid,Average,0.5,256,0.7569421529769897,0.749199390411377,0.7612603306770325,0.6656782627105713,0.6178393959999084,0.012060940265655518,280.7052001953125
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",sigmoid,Average,0.5,64,0.7733057737350464,0.7636880278587341,0.7746900916099548,0.6315762996673584,0.5909029841423035,0.011002063751220703,172.0650553703308
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",sigmoid,Max,0.2,64,0.7606611847877502,0.7696539163589478,0.7619834542274475,0.6133500337600708,0.6237561702728271,-0.007670462131500244,279.15614891052246
"(32, 64, 128)","((5, 5), (3, 3), (3, 3))",tanh,Max,0.5,128,0.79388427734375,0.7954545617103577,0.797107458114624,0.5326574444770813,0.5322487354278564,0.0016528964042663574,148.86053204536438
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",tanh,Average,0.7,128,0.7491735816001892,0.7230113744735718,0.7568181753158569,0.7361232042312622,0.6407524943351746,0.033806800842285156,274.44515895843506
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",tanh,Max,0.2,128,0.7746281027793884,0.8468492031097412,0.7808884382247925,0.40171119570732117,0.6194120645523071,-0.06596076488494873,287.7946660518646
"(32, 64, 128)","((3, 3), (3, 3), (3, 3))",sigmoid,Average,0.5,256,0.7814875841140747,0.7658057808876038,0.7809917330741882,0.6190938353538513,0.5757215023040771,0.015185952186584473,168.32945203781128
"(32, 64, 128)","((5, 5), (3, 3), (3, 3))",sigmoid,Max,0.7,256,0.7410743832588196,0.7110020518302917,0.746074378490448,0.7754285335540771,0.6708529591560364,0.03507232666015625,154.00586009025574
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",relu,Average,0.7,128,0.8339669704437256,0.8109762668609619,0.8417355418205261,0.5054517388343811,0.4338012635707855,0.03075927495956421,256.45813822746277
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",tanh,Max,0.2,64,0.7821487784385681,0.8252582550048828,0.7916322350502014,0.4570470452308655,0.5565616488456726,-0.033626019954681396,279.0956199169159
"(32, 64, 128)","((5, 5), (3, 3), (3, 3))",tanh,Max,0.2,64,0.7809090614318848,0.8401084542274475,0.7940082550048828,0.42227715253829956,0.5608017444610596,-0.0461001992225647,141.80584001541138
"(32, 64, 128)","((5, 5), (3, 3), (3, 3))",relu,Average,0.7,256,0.8264462947845459,0.7959710955619812,0.8344008326530457,0.5462319850921631,0.4502464532852173,0.03842973709106445,138.34325098991394
"(64, 128, 256)","((3, 3), (3, 3), (3, 3))",relu,Max,0.2,128,0.8749586939811707,0.9489411115646362,0.8740702271461487,0.13881711661815643,0.40861138701438904,-0.07487088441848755,305.64984011650085
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",tanh,Max,0.2,256,0.7876033186912537,0.8731921315193176,0.7881198525428772,0.3290247917175293,0.5974727272987366,-0.08507227897644043,283.2519462108612
"(64, 128, 256)","((3, 3), (3, 3), (3, 3))",sigmoid,Average,0.2,128,0.807851254940033,0.8138688206672668,0.8106405138969421,0.49337077140808105,0.49851569533348083,-0.003228306770324707,305.7930030822754
"(32, 64, 128)","((5, 5), (3, 3), (3, 3))",relu,Average,0.5,64,0.8255372047424316,0.8102272748947144,0.8323346972465515,0.5048902034759521,0.4530954957008362,0.022107422351837158,122.9739441871643
"(64, 128, 256)","((3, 3), (3, 3), (3, 3))",relu,Average,0.2,256,0.8886776566505432,0.9273243546485901,0.889979362487793,0.19582052528858185,0.3187927305698395,-0.03734499216079712,301.41245007514954
"(64, 128, 256)","((5, 5), (3, 3), (3, 3))",relu,Max,0.2,64,0.8372727036476135,0.8868801593780518,0.8454545736312866,0.29747825860977173,0.4335959553718567,-0.04142558574676514,259.30709195137024
